ProjectId	ProjectAcc	ProjectDate	ProjectTitle	ProjectDescription	OrganismName	OrganismStrain
665377	PRJNA665377	2020/09/24 00:00	Aiptasia microbiome manipulation probiotics	Aiptasia is an emerging organism to study cnidarian symbioses due to its taxonomic relatedness to stony corals and similarities of its microalgal and bacterial partners. Here we assess prospect of microbial transplants.	sea anemone metagenome	
650220	PRJNA650220	2020/08/02 00:00	Microbiome characterization of Exaiptasia diaphana's acontia	Culture-dependent (isolation and 16S rRNA gene Sanger sequencing) and -independent (16S rRNA gene metabarcoding) analysis of bacteria associated with the acontia (defensive organ) of the coral model, the sea anemone Exaiptasia diaphana	Exaiptasia diaphana	
630329	PRJNA630329	2020/05/04 00:00	Assessment of a ROS-targeted bacterial probiotic aimed at improving thermal tolerance in the coral model, the sea anemone Exaiptasia diaphana	Probiotic inoculation is one of several interventions currently being developed with the aim of increasing climate resilience in corals. Inspired by the oxidative stress theory of coral bleaching, we investigated whether a probiotic comprised of bacteria isolated from the coral model, Exaiptasia diaphana, and designed to scavenge free radicals could improve thermal tolerance of this anemone. We tested our probiotic alongside low free radical scavenging and no-inoculum control treatments under ambient and elevated temperature conditions but found no evidence for improved thermal tolerance. Changes in the relative abundance of anemone-associated Labrenzia provided strong evidence for probiotic integration in the E. diaphana microbiome. Uptake of other probiotic members was inconsistent and probiotic members did not persist in the anemone microbiome over time. Consequently, the failure of probiotic inoculation to confer improved thermal tolerance may have been due to the absence of probiotic bacteria for the full duration the experiment. Importantly, there were no apparent physiological impacts on the holobiont following inoculation, thus showing that shifting the abundance of naturally occurring anemone microbiome members is not detrimental. Given the frequency of coral bleaching events, without urgent intervention to achieve coral resilience to climate change, coral reefs will not survive. This study will therefore be invaluable for future bacterial bioengineering approaches.	Exaiptasia diaphana	AIMS2-4
592182	PRJNA592182	2019/11/27 00:00	Comparison of gene expression in Exaiptasia pallida aposymbiotic cells and cells containing Microchloropsis gaditana	Emergence of the symbiotic lifestyle fostered the immense diversity of all ecosystems on Earth, but symbiosis plays a particularly remarkable role in marine ecosystems. Photosynthetic dinoflagellate endosymbionts power reef ecosystems by transferring vital nutrients to their coral hosts. The mechanisms driving this symbiosis, specifically those which allow hosts to discriminate between beneficial symbionts and pathogens, are not well understood. Here, we uncover that host immune suppression is key for dinoflagellate endosymbionts to avoid elimination by the host using a comparative, model systems approach. Unexpectedly, we find that the clearance of non-symbiotic microalgae occurs by non-lytic expulsion (vomocytosis) and not intracellular digestion, the canonical mechanism used by professional immune cells to destroy foreign invaders. We provide evidence that suppression of TLR signalling by targeting the conserved MyD88 adapter protein has been co-opted for this endosymbiotic lifestyle, suggesting that this is an evolutionarily ancient mechanism exploited to facilitate symbiotic associations ranging from coral endosymbiosis to the microbiome of vertebrate guts. Overall design: The gene expression profiles of aposymbiotic endodermal cells and cells containing M. gaditana obtained 24 - 48 hours after uptake in Aiptaisia larvae were compared. In addition to GEO accession: GSE140173	Exaiptasia diaphana	
588472	PRJNA588472	2019/11/08 00:00	Comparison of gene expression in symbiotic and non-symbiotic cells of Exaiptasia pallida	Emergence of the symbiotic lifestyle fostered the immense diversity of all ecosystems on Earth, but symbiosis plays a particularly remarkable role in marine ecosystems. Photosynthetic dinoflagellate endosymbionts power reef ecosystems by transferring vital nutrients to their coral hosts. The mechanisms driving this symbiosis, specifically those which allow hosts to discriminate between beneficial symbionts and pathogens, are not well understood. Here, we uncover that host immune suppression is key for dinoflagellate endosymbionts to avoid elimination by the host using a comparative, model systems approach. Unexpectedly, we find that the clearance of non-symbiotic microalgae occurs by non-lytic expulsion (vomocytosis) and not intracellular digestion, the canonical mechanism used by professional immune cells to destroy foreign invaders. We provide evidence that suppression of TLR signalling by targeting the conserved MyD88 adapter protein has been co-opted for this endosymbiotic lifestyle, suggesting that this is an evolutionarily ancient mechanism exploited to facilitate symbiotic associations ranging from coral endosymbiosis to the microbiome of vertebrate guts. Overall design: The gene expression profiles of symbiotic and aposymbiotic endodermal cells obtained 24 - 48 hours after symbiosis establishment in Aiptaisia larvae were compared. In addition to GEO accession: GSE141133	Exaiptasia diaphana	
576764	PRJNA576764	2019/10/10 00:00	Thermal stress response of GBR Exaiptasia's microbiome	Little is known about changes in the bacterial communities of the sea anemone, Exaiptasia pallida/diaphana, exposed to thermal stress. These data describe differences between communities of Exaiptasia-associated bacteria in anemones at ambient temperature and temperature increasing over time.		
576556	PRJNA576556	2019/10/09 00:00	Reduced microbiome of Exaiptasia diaphana	16S rRNA metabarcoding of the V5-V6 region to examine bacterial community variation for four genotypes of Exaiptasia diaphana (AIMS1-4) when cultured in sterile seawater.		
576020	PRJNA576020	2019/10/05 00:00	Exaiptasia diaphana from the Great Barrier Reef: a valuable resource for coral symbiosis research	The sea anemone, Exaiptasia diaphana, commonly known as Exaiptasia pallida or Aiptasia pallida, has become increasingly popular as a model for cnidarian-microbiome symbiosis studies due to its relatively rapid growth, ability to reproduce sexually and asexually, and symbiosis with diverse prokaryotes and the same microalgal symbionts (family Symbiodiniaceae) as its coral relatives. Clonal E. diaphana strains from Hawaii, the Atlantic Ocean, and Red Sea are now established for use in research. We introduce Great Barrier Reef (GBR)-sourced E. diaphana strains as additions to the model repertoire. Data provided here includes sequences of the 18S rRNA gene to confirm the anemones as E. diaphana, with genome-wide single nucleotide polymorphism analysis revealing four distinct genotypes. Exaiptasia-specific inter-simple sequence repeat (ISSR)-derived sequence characterized amplified region (SCAR) markers and gene loci data are also provided.	Exaiptasia diaphana	AIMS1-4
575811	PRJNA575811	2019/10/04 00:00	Microbiome characterisation of GBR Exaiptasia	The bacterial communities and algal symbionts associated with Exaiptasia from the Great Barrier Reef (GBR) were characterised because data for GBR representatives of this coral model were previously absent.		
524291	PRJNA524291	2019/02/26 00:00	Salinity-conveyed thermotolerance in the coral model Aiptasia is accompanied by distinct changes of the bacterial microbiome	Here we characterized bacterial community composition under heat stress at different salinities using the coral model Aiptasia. Our aim was to assess whether microbiome changes could be linked to an increase in thermotolerance at high salinities and what bacterial taxa are subject to change.	Exaiptasia diaphana	
497709	PRJNA497709	2018/10/21 00:00	Bacterial microbiome associated with different strains of the sea anemone Aiptasia	Bacterial community associated with CC7, H2, SSB01 (CC7 genotype harboring Symbiodnium clade D1) and Red Sea strains of the sea anemone Aiptasia sp.		
360672	PRJNA360672	2017/01/10 00:00	Bacterial microbiome of H2 Aiptasia	Bacterial community associated with the H2 strain of the sea anemone Aiptasia	Exaiptasia diaphana	
325476	PRJNA325476	2016/06/13 00:00	sea anemone metagenome Targeted loci environmental	bacterial microbiome of model organism Aiptasia	sea anemone metagenome	
